ìÂ;ìÀ
7.8079E-02;7.8079E-05
7.8090E-02;7.8090E-05
7.8105E-02;7.8105E-05
7.8116E-02;7.8116E-05
7.8120E-02;7.8120E-05
7.8124E-02;7.8124E-05
7.8127E-02;7.8127E-05
7.8135E-02;7.8135E-05
7.8150E-02;7.8150E-05
7.8153E-02;7.8153E-05
7.8172E-02;7.8172E-05
7.8179E-02;7.8179E-05
7.8191E-02;7.8191E-05
7.8202E-02;7.8202E-05
7.8217E-02;7.8217E-05
7.8217E-02;7.8217E-05
7.8220E-02;7.8220E-05
7.8224E-02;7.8224E-05
7.8228E-02;7.8228E-05
7.8235E-02;7.8235E-05
7.8239E-02;7.8239E-05
7.8250E-02;7.8250E-05
7.8258E-02;7.8258E-05
7.8258E-02;7.8258E-05
7.8261E-02;7.8261E-05
7.8265E-02;7.8265E-05
7.8273E-02;7.8273E-05
7.8276E-02;7.8276E-05
7.8287E-02;7.8287E-05
7.8291E-02;7.8291E-05
7.8295E-02;7.8295E-05
7.8299E-02;7.8299E-05
7.8302E-02;7.8302E-05
7.8302E-02;7.8302E-05
7.8302E-02;7.8302E-05
7.8314E-02;7.8314E-05
7.8314E-02;7.8314E-05
7.8314E-02;7.8314E-05
7.8314E-02;7.8314E-05
7.8314E-02;7.8314E-05
7.8314E-02;7.8314E-05
7.8317E-02;7.8317E-05
7.8317E-02;7.8317E-05
7.8321E-02;7.8321E-05
7.8321E-02;7.8321E-05
7.8325E-02;7.8325E-05
7.8328E-02;7.8328E-05
7.8336E-02;7.8336E-05
7.8343E-02;7.8343E-05
7.8343E-02;7.8343E-05
7.8343E-02;7.8343E-05
7.8343E-02;7.8343E-05
7.8343E-02;7.8343E-05
7.8347E-02;7.8347E-05
7.8347E-02;7.8347E-05
7.8355E-02;7.8355E-05
7.8355E-02;7.8355E-05
7.8358E-02;7.8358E-05
7.8362E-02;7.8362E-05
7.8362E-02;7.8362E-05
7.8366E-02;7.8366E-05
7.8366E-02;7.8366E-05
7.8366E-02;7.8366E-05
7.8373E-02;7.8373E-05
7.8373E-02;7.8373E-05
7.8377E-02;7.8377E-05
7.8377E-02;7.8377E-05
7.8377E-02;7.8377E-05
7.8377E-02;7.8377E-05
7.8384E-02;7.8384E-05
7.8384E-02;7.8384E-05
7.8384E-02;7.8384E-05
7.8388E-02;7.8388E-05
7.8388E-02;7.8388E-05
7.8388E-02;7.8388E-05
7.8388E-02;7.8388E-05
7.8399E-02;7.8399E-05
7.8399E-02;7.8399E-05
7.8399E-02;7.8399E-05
7.8403E-02;7.8403E-05
7.8407E-02;7.8407E-05
7.8407E-02;7.8407E-05
7.8410E-02;7.8410E-05
7.8410E-02;7.8410E-05
7.8410E-02;7.8410E-05
7.8418E-02;7.8418E-05
7.8425E-02;7.8425E-05
7.8429E-02;7.8429E-05
7.8433E-02;7.8433E-05
7.8433E-02;7.8433E-05
7.8433E-02;7.8433E-05
7.8436E-02;7.8436E-05
7.8440E-02;7.8440E-05
7.8440E-02;7.8440E-05
7.8440E-02;7.8440E-05
7.8440E-02;7.8440E-05
7.8444E-02;7.8444E-05
7.8444E-02;7.8444E-05
7.8444E-02;7.8444E-05
7.8448E-02;7.8448E-05
7.8451E-02;7.8451E-05
7.8451E-02;7.8451E-05
7.8455E-02;7.8455E-05
7.8455E-02;7.8455E-05
7.8455E-02;7.8455E-05
7.8459E-02;7.8459E-05
7.8463E-02;7.8463E-05
7.8463E-02;7.8463E-05
7.8463E-02;7.8463E-05
7.8463E-02;7.8463E-05
7.8466E-02;7.8466E-05
7.8470E-02;7.8470E-05
7.8470E-02;7.8470E-05
7.8470E-02;7.8470E-05
7.8470E-02;7.8470E-05
7.8470E-02;7.8470E-05
7.8470E-02;7.8470E-05
7.8477E-02;7.8477E-05
7.8485E-02;7.8485E-05
7.8485E-02;7.8485E-05
7.8492E-02;7.8492E-05
7.8496E-02;7.8496E-05
7.8504E-02;7.8504E-05
7.8507E-02;7.8507E-05
7.8507E-02;7.8507E-05
7.8507E-02;7.8507E-05
7.8507E-02;7.8507E-05
7.8507E-02;7.8507E-05
7.8515E-02;7.8515E-05
7.8518E-02;7.8518E-05
7.8518E-02;7.8518E-05
7.8518E-02;7.8518E-05
7.8526E-02;7.8526E-05
7.8526E-02;7.8526E-05
7.8526E-02;7.8526E-05
7.8530E-02;7.8530E-05
7.8530E-02;7.8530E-05
7.8533E-02;7.8533E-05
7.8533E-02;7.8533E-05
7.8533E-02;7.8533E-05
7.8533E-02;7.8533E-05
7.8541E-02;7.8541E-05
7.8544E-02;7.8544E-05
7.8548E-02;7.8548E-05
7.8548E-02;7.8548E-05
7.8548E-02;7.8548E-05
7.8548E-02;7.8548E-05
7.8548E-02;7.8548E-05
7.8552E-02;7.8552E-05
7.8552E-02;7.8552E-05
7.8552E-02;7.8552E-05
7.8556E-02;7.8556E-05
7.8556E-02;7.8556E-05
7.8567E-02;7.8567E-05
7.8571E-02;7.8571E-05
7.8578E-02;7.8578E-05
7.8582E-02;7.8582E-05
7.8585E-02;7.8585E-05
7.8589E-02;7.8589E-05
7.8589E-02;7.8589E-05
7.8593E-02;7.8593E-05
7.8593E-02;7.8593E-05
7.8597E-02;7.8597E-05
7.8597E-02;7.8597E-05
7.8597E-02;7.8597E-05
7.8600E-02;7.8600E-05
7.8600E-02;7.8600E-05
7.8600E-02;7.8600E-05
7.8600E-02;7.8600E-05
7.8608E-02;7.8608E-05
7.8612E-02;7.8612E-05
7.8612E-02;7.8612E-05
7.8612E-02;7.8612E-05
7.8612E-02;7.8612E-05
7.8612E-02;7.8612E-05
7.8623E-02;7.8623E-05
7.8630E-02;7.8630E-05
7.8630E-02;7.8630E-05
7.8634E-02;7.8634E-05
7.8664E-02;7.8664E-05
7.8679E-02;7.8679E-05
7.8682E-02;7.8682E-05
7.8686E-02;7.8686E-05
7.8686E-02;7.8686E-05
7.8694E-02;7.8694E-05
7.8694E-02;7.8694E-05
7.8697E-02;7.8697E-05
7.8705E-02;7.8705E-05
7.8705E-02;7.8705E-05
7.8712E-02;7.8712E-05
7.8712E-02;7.8712E-05
7.8716E-02;7.8716E-05
7.8720E-02;7.8720E-05
7.8727E-02;7.8727E-05
7.8746E-02;7.8746E-05
7.8746E-02;7.8746E-05
7.8749E-02;7.8749E-05
7.8757E-02;7.8757E-05
7.8839E-02;7.8839E-05
7.8865E-02;7.8865E-05
